"","Date","University","Job_Title"
"1","01/30/2022","Marist College (Lecturer of Spanish) x2","Lecturer of Spanish"
"2","01/27/2022","University of Rhode Island (lecturer+coordinator) x2","lecturer+coordinator"
"3","01/26/2022","University of Southern Mississippi","01/26/2022-University of Southern Mississippi"
"4","01/26/2022","Shepherd University x2","01/26/2022-Shepherd University x2"
"5","01/20/2022","Howard University","01/20/2022-Howard University"
"6","01/20/2022","Berea College","01/20/2022-Berea College"
"7","01/19/2022","U of North Florida x2","01/19/2022-U of North Florida x2"
"8","01/19/2022","University of British Columbia (Lecturer of Spanish)","Lecturer of Spanish"
"9","01/18/2022","Truman State University (Tenure-track Assistant Professor of Spanish)","Tenure-track Assistant Professor of Spanish"
"10","01/18/2022","The University of St Andrews (Lecturer in Latin American Studies)","Lecturer in Latin American Studies"
"11","01/18/2022","University of Michigan (Lecturer III (231 Coordinator) position)","Lecturer III (231 Coordinator) position"
"12","01/17/2022","Mississippi State University x3","01/17/2022-Mississippi State University x3"
"13","01/14/2022","Baruch College (Peninsular studies) x2","Peninsular studies"
"14","01/14/2022","Florida Atlantic U (Latin American lit and film) x2","Latin American lit and film"
"15","01/13/2022","Jacksonville University x2","01/13/2022-Jacksonville University x2"
"16","01/13/2022","Georgia State University (Afro-Hispanic)","Afro-Hispanic"
"17","01/13/2022","Syracuse University (Latinx)","Latinx"
"18","01/09/2022","Spelman College (Latinx/Border) x3","Latinx/Border"
"19","01/08/2022","Spelman College (Global Hispanophone) x2","Global Hispanophone"
"20","01/05/2022","University of Central Florida (Spanish instructor)","Spanish instructor"
"21","01/04/2022","University of Kansas x2","01/04/2022-University of Kansas x2"
"22","01/03/2022","Idaho State x2","01/03/2022-Idaho State x2"
"23","12/29/2021","Mount St. Mary’s University x4","12/29/2021-Mount St. Mary’s University x4"
"24","12/23/2021","Coe College x2","12/23/2021-Coe College x2"
"25","12/22/2021","University of Wisconsin- River Falls","12/22/2021-University of Wisconsin- River Falls"
"26","12/21/2021","Houston (Assoc. Creative Writing)","Assoc. Creative Writing"
"27","12/22/2021","Middle Tennessee State University","12/22/2021-Middle Tennessee State University"
"28","12/21/2021","Clemson x3","12/21/2021-Clemson x3"
"29","12/21/2021","Claremont Mckenna College","12/21/2021-Claremont Mckenna College"
"30","12/21/2021","Georgetown (Modern and Contemporary Latin America)","Modern and Contemporary Latin America"
"31","12/21/2021","Union College x2","12/21/2021-Union College x2"
"32","12/20/2021","Texas A&M (Assistant Professor of Spanish) R1: Is this the position in San Antonio? R2: Yes, it is the one at San Antonio","Assistant Professor of Spanish"
"33","12/20/2021","FIU (Assistant Professor of Portuguese)","Assistant Professor of Portuguese"
"34","12/17/2021","UNLV (Assistant Professor in Residence)","Assistant Professor in Residence"
"35","12/14/2021","SUNY Cortland","12/14/2021-SUNY Cortland"
"36","12/18/2021","NYU (Modern and Contemporary)","Modern and Contemporary"
"37","12/17/2021","Texas Tech University R1: Is this for the Modeling Interdisciplinary Inquiry Postdoc? R2: No, the Latinx in Hispanic Studies position. R1: Thank you for the information. Suerte!","12/17/2021-Texas Tech University R1: Is this for the Modeling Interdisciplinary Inquiry Postdoc? R2: No, the Latinx in Hispanic Studies position. R1: Thank you for the information. Suerte!"
"38","12/14/2021","University of Richmond","12/14/2021-University of Richmond"
"39","12/16/2021","Mulhenberg College x2","12/16/2021-Mulhenberg College x2"
"40","12/16/2021","Furman University x3","12/16/2021-Furman University x3"
"41","12/15/2021","Wabash College (Assistant Professor)","Assistant Professor"
"42","12/13/2021","William and Mary (Assistant Professor, medieval)","Assistant Professor, medieval"
"43","12/15/2021","George Washington University (Spanish Teaching Instructor) x3","Spanish Teaching Instructor"
"44","12/14/2021","Vassar College (Assistant Professor of Hispanic Studies) X3","Assistant Professor of Hispanic Studies"
"45","12/14/2021","Nebraska Wesleyan University (Assistant Professor of Modern Language in Spanish) x3","Assistant Professor of Modern Language in Spanish"
"46","12/14/2021","Oklahoma State University (Assistant Professor of Spanish)","Assistant Professor of Spanish"
"47","12/13/2021","University of Delaware (Assistant Professor of Spanish and Pedagogy/Second Language Acquisition) x3","Assistant Professor of Spanish and Pedagogy/Second Language Acquisition"
"48","12/09/2021","Northwestern University (Assistant Professor of Instruction)","Assistant Professor of Instruction"
"49","12/09/2021","James Madison University","12/09/2021-James Madison University"
"50","12/09/2021","University of South Florida - Tampa campus (Assistant Instructor of Spanish) x2","Assistant Instructor of Spanish"
"51","12/09/2021","Arizona State x4","12/09/2021-Arizona State x4"
"52","12/08/2021","Kalamazoo College x4","12/08/2021-Kalamazoo College x4"
"53","12/07/2021","CUNY John Jay College (Translation & Interpreting)","Translation & Interpreting"
"54","12/07/2021","Colorado State University (Spanish for Specific Purposes) x3","Spanish for Specific Purposes"
"55","12/07/2021","Duke Kunshan University (Lecturer in Spanish)","Lecturer in Spanish"
"56","12/06/2021","University of Mississippi (Spanish Linguistics) x2","Spanish Linguistics"
"57","12/04/2021","Tulane University (TT Modern Iberian and North African) x2 / 12/05/2021 x2","TT Modern Iberian and North African"
"58","12/03/2021","University of Central Missouri","12/03/2021-University of Central Missouri"
"59","12/03/2021","University of Louisville (Assistant Professor of Spanish for the Professions, Interpreting or Translation)","Assistant Professor of Spanish for the Professions, Interpreting or Translation"
"60","12/03/2021","Northwestern University (Assistant Professor of Instruction) x2","Assistant Professor of Instruction"
"61","12/03/2021","University of Central Florida (Assistant Professor of Spanish Linguistics) x4","Assistant Professor of Spanish Linguistics"
"62","12/01/2021","Union College x2","12/01/2021-Union College x2"
"63","12/01/2021","Hamilton College (Assistant Prof. of Hispanic Studies, Andean lit.) x2","Assistant Prof. of Hispanic Studies, Andean lit."
"64","12/01/2021","Longwood University (Assistant Professor of Spanish and Foreign Language Pedagogy) x4","Assistant Professor of Spanish and Foreign Language Pedagogy"
"65","11/28/2021","Rutgers (Spanish Sociolinguistics) x5","Spanish Sociolinguistics"
"66","11/23/2021","College of Charleston (Assistant Professor of Hispanic Linguistics)","Assistant Professor of Hispanic Linguistics"
"67","11/23/2021","Dartmouth","11/23/2021-Dartmouth"
"68","11/22/2021","Cornell Mellon Postdoc x2","11/22/2021-Cornell Mellon Postdoc x2"
"69","11/23/2021","University of Dayton","11/23/2021-University of Dayton"
"70","11/22/2021","College of Charleston (Instructor of Spanish with a focus in the Professions)","Instructor of Spanish with a focus in the Professions"
"71","11/19/2021","CSU Fullerton","11/19/2021-CSU Fullerton"
"72","11/22/2021","Baylor","11/22/2021-Baylor"
"73","11/16/2021","Occidental College x2","11/16/2021-Occidental College x2"
"74","11/15/2021","University of Florida at Gainesville (Lecturer/Senior Lecturer - Spanish for Specific Purposes)","Lecturer/Senior Lecturer - Spanish for Specific Purposes"
"75","11/14/2021","University of Rochester x2","11/14/2021-University of Rochester x2"
"76","11/12/2021","University of South Carolina x4","11/12/2021-University of South Carolina x4"
"77","11/12/2021","Boston University x3","11/12/2021-Boston University x3"
"78","11/12/2021","University of Florida at Gainesville (Lecturer in Spanish Lang & Culture) x3","Lecturer in Spanish Lang & Culture"
"79","11/12/2021","St Olaf x2","11/12/2021-St Olaf x2"
"80","11/08/2021","Lake Forest College x2","11/08/2021-Lake Forest College x2"
"81","11/05/2021","Saint Joseph University x2","11/05/2021-Saint Joseph University x2"
"82","10/22/2021","University of Puget Sound x3","10/22/2021-University of Puget Sound x3"
"83","10/21/2021","Kenyon College","10/21/2021-Kenyon College"
"84","09/29/2021","University of New Orleans","09/29/2021-University of New Orleans"
"85","09/21/2021","Southern Utah University X2","09/21/2021-Southern Utah University X2"
